

Python 3.12.5
['▁<', '|', 'endo', 'f', 'text', '|', '>']
[39, 19, 37, 35, 38, 19, 40]
['▁Before', '▁we', '▁pro', 'ce', 'ed', '▁any', '▁further', ',', '▁hear', '▁me', '▁speak', '.']
torch.Size([512, 128]) torch.Size([512, 128])
The <|endoftext|> id is : 1
total params: 12,597,504
model size: 48.243MB
Training on cuda.
Epoch 1/2:
Step 1/953240 - LR:0.0016 - train_loss: 8.486
Step 11/953240 - LR:0.0016 - train_loss: 5.989
Step 21/953240 - LR:0.0017 - train_loss: 5.944
Step 31/953240 - LR:0.0016 - train_loss: 5.922
Step 41/953240 - LR:0.0017 - train_loss: 5.905
Step 51/953240 - LR:0.0016 - train_loss: 5.878
Step 61/953240 - LR:0.0017 - train_loss: 5.805
Step 71/953240 - LR:0.0016 - train_loss: 5.497
Step 81/953240 - LR:0.0017 - train_loss: 5.335
Step 91/953240 - LR:0.0016 - train_loss: 5.216
Step 101/953240 - LR:0.0016 - train_loss: 5.155
Step 111/953240 - LR:0.0016 - train_loss: 5.139
Step 121/953240 - LR:0.0017 - train_loss: 5.215
Step 131/953240 - LR:0.0016 - train_loss: 5.096
Step 141/953240 - LR:0.0017 - train_loss: 5.044
Step 151/953240 - LR:0.0016 - train_loss: 5.017
Step 161/953240 - LR:0.0017 - train_loss: 5.609
Step 171/953240 - LR:0.0016 - train_loss: 5.395
Step 181/953240 - LR:0.0017 - train_loss: 5.248
Step 191/953240 - LR:0.0016 - train_loss: 5.134
Step 201/953240 - LR:0.0016 - train_loss: 5.047
Step 211/953240 - LR:0.0016 - train_loss: 5.030
Step 221/953240 - LR:0.0016 - train_loss: 4.987
Step 231/953240 - LR:0.0016 - train_loss: 5.015
Step 241/953240 - LR:0.0017 - train_loss: 4.950
Step 251/953240 - LR:0.0016 - train_loss: 4.902
Step 261/953240 - LR:0.0017 - train_loss: 4.910
Step 271/953240 - LR:0.0016 - train_loss: 4.806
Step 281/953240 - LR:0.0017 - train_loss: 4.797
Step 291/953240 - LR:0.0016 - train_loss: 4.767
Step 301/953240 - LR:0.0017 - train_loss: 4.774
Step 311/953240 - LR:0.0016 - train_loss: 5.137
Step 321/953240 - LR:0.0017 - train_loss: 4.840
Step 331/953240 - LR:0.0016 - train_loss: 4.870
Step 341/953240 - LR:0.0017 - train_loss: 4.723
Step 351/953240 - LR:0.0016 - train_loss: 4.729
Step 361/953240 - LR:0.0017 - train_loss: 4.659
Step 371/953240 - LR:0.0016 - train_loss: 4.731
Step 381/953240 - LR:0.0017 - train_loss: 4.654
Step 391/953240 - LR:0.0016 - train_loss: 4.597
Step 401/953240 - LR:0.0017 - train_loss: 4.574
Step 411/953240 - LR:0.0016 - train_loss: 4.537
Step 421/953240 - LR:0.0017 - train_loss: 4.496
Step 431/953240 - LR:0.0016 - train_loss: 4.800
Step 441/953240 - LR:0.0017 - train_loss: 4.562
