Python 3.12.5
['▁<', '|', 'endo', 'f', 'text', '|', '>']
[39, 19, 37, 35, 38, 19, 40]
['▁Before', '▁we', '▁pro', 'ce', 'ed', '▁any', '▁further', ',', '▁hear', '▁me', '▁speak', '.']
torch.Size([512, 128]) torch.Size([512, 128])
The <|endoftext|> id is : 1
total params: 12,597,504
model size: 48.243MB
Training on cuda.
Epoch 1/2:
Step 1/953240 - LR:0.0016 - train_loss: 8.461
Step 11/953240 - LR:0.0016 - train_loss: 5.991
Step 21/953240 - LR:0.0017 - train_loss: 5.930
Step 31/953240 - LR:0.0016 - train_loss: 5.904
Step 41/953240 - LR:0.0017 - train_loss: 5.869
Step 51/953240 - LR:0.0016 - train_loss: 5.687
Step 61/953240 - LR:0.0017 - train_loss: 5.554
Step 71/953240 - LR:0.0016 - train_loss: 5.549
Step 81/953240 - LR:0.0017 - train_loss: 5.382
Step 91/953240 - LR:0.0016 - train_loss: 5.237
Step 101/953240 - LR:0.0016 - train_loss: 5.171
Step 111/953240 - LR:0.0016 - train_loss: 5.132
Step 121/953240 - LR:0.0017 - train_loss: 5.105
Step 131/953240 - LR:0.0016 - train_loss: 5.046
Step 141/953240 - LR:0.0017 - train_loss: 5.023
Step 151/953240 - LR:0.0016 - train_loss: 5.060
Step 161/953240 - LR:0.0017 - train_loss: 5.077
Step 171/953240 - LR:0.0016 - train_loss: 5.105
Step 181/953240 - LR:0.0017 - train_loss: 4.973
Step 191/953240 - LR:0.0016 - train_loss: 5.101
Step 201/953240 - LR:0.0016 - train_loss: 5.027
Step 211/953240 - LR:0.0016 - train_loss: 4.978
Step 221/953240 - LR:0.0016 - train_loss: 4.911
Step 231/953240 - LR:0.0016 - train_loss: 4.900
Step 241/953240 - LR:0.0017 - train_loss: 4.855
Step 251/953240 - LR:0.0016 - train_loss: 4.862
Step 261/953240 - LR:0.0017 - train_loss: 4.829
Step 271/953240 - LR:0.0016 - train_loss: 4.780
Step 281/953240 - LR:0.0017 - train_loss: 4.754
Step 291/953240 - LR:0.0016 - train_loss: 4.768
Step 301/953240 - LR:0.0017 - train_loss: 4.719
Step 311/953240 - LR:0.0016 - train_loss: 5.057
Step 321/953240 - LR:0.0017 - train_loss: 4.878
Step 331/953240 - LR:0.0016 - train_loss: 4.756
Step 341/953240 - LR:0.0017 - train_loss: 4.633
Step 351/953240 - LR:0.0016 - train_loss: 4.598
Step 361/953240 - LR:0.0017 - train_loss: 4.528
Step 371/953240 - LR:0.0016 - train_loss: 4.592
Step 381/953240 - LR:0.0017 - train_loss: 4.459
Step 391/953240 - LR:0.0016 - train_loss: 4.523
Step 401/953240 - LR:0.0017 - train_loss: 4.391
Step 411/953240 - LR:0.0016 - train_loss: 4.362
Step 421/953240 - LR:0.0017 - train_loss: 4.291
Step 431/953240 - LR:0.0016 - train_loss: 4.323
Step 441/953240 - LR:0.0017 - train_loss: 4.254
Step 451/953240 - LR:0.0016 - train_loss: 4.292
Step 461/953240 - LR:0.0017 - train_loss: 4.209
Step 471/953240 - LR:0.0016 - train_loss: 4.217
Step 481/953240 - LR:0.0017 - train_loss: 4.162
Step 491/953240 - LR:0.0016 - train_loss: 4.244
Step 501/953240 - LR:0.0017 - train_loss: 4.177
Step 511/953240 - LR:0.0016 - train_loss: 4.161
Step 521/953240 - LR:0.0017 - train_loss: 4.063
Step 531/953240 - LR:0.0016 - train_loss: 4.180
Step 541/953240 - LR:0.0017 - train_loss: 4.094
Step 551/953240 - LR:0.0016 - train_loss: 4.038
Step 561/953240 - LR:0.0017 - train_loss: 3.944
Step 571/953240 - LR:0.0016 - train_loss: 3.970
Step 581/953240 - LR:0.0016 - train_loss: 3.922
Step 591/953240 - LR:0.0016 - train_loss: 4.036
Step 601/953240 - LR:0.0016 - train_loss: 3.937
Step 611/953240 - LR:0.0016 - train_loss: 3.946
Step 621/953240 - LR:0.0016 - train_loss: 3.831
Step 631/953240 - LR:0.0016 - train_loss: 3.929
Step 641/953240 - LR:0.0017 - train_loss: 3.840
Step 651/953240 - LR:0.0016 - train_loss: 3.850
Step 661/953240 - LR:0.0017 - train_loss: 3.807
Step 671/953240 - LR:0.0016 - train_loss: 3.784
Step 681/953240 - LR:0.0017 - train_loss: 3.765
Step 691/953240 - LR:0.0016 - train_loss: 3.788
Step 701/953240 - LR:0.0017 - train_loss: 3.765
Step 711/953240 - LR:0.0016 - train_loss: 3.753
Step 721/953240 - LR:0.0017 - train_loss: 3.680
Step 731/953240 - LR:0.0016 - train_loss: 3.694
Step 741/953240 - LR:0.0017 - train_loss: 3.633
Step 751/953240 - LR:0.0016 - train_loss: 3.814
Step 761/953240 - LR:0.0017 - train_loss: 3.739
Step 771/953240 - LR:0.0016 - train_loss: 3.689
Step 781/953240 - LR:0.0016 - train_loss: 3.648
Step 791/953240 - LR:0.0016 - train_loss: 3.635
Step 801/953240 - LR:0.0017 - train_loss: 3.648
Step 811/953240 - LR:0.0016 - train_loss: 3.692
Step 821/953240 - LR:0.0017 - train_loss: 3.606
Step 831/953240 - LR:0.0016 - train_loss: 3.575
Step 841/953240 - LR:0.0017 - train_loss: 3.562
Step 851/953240 - LR:0.0016 - train_loss: 3.607
Step 861/953240 - LR:0.0017 - train_loss: 3.492
Step 871/953240 - LR:0.0016 - train_loss: 3.695
Step 881/953240 - LR:0.0017 - train_loss: 3.550
Step 891/953240 - LR:0.0016 - train_loss: 3.575
Step 901/953240 - LR:0.0017 - train_loss: 3.498
Step 911/953240 - LR:0.0016 - train_loss: 3.551
Step 921/953240 - LR:0.0017 - train_loss: 3.533
Step 931/953240 - LR:0.0016 - train_loss: 3.617
Step 941/953240 - LR:0.0017 - train_loss: 3.490
Step 951/953240 - LR:0.0016 - train_loss: 3.502
Step 961/953240 - LR:0.0017 - train_loss: 3.462
Step 971/953240 - LR:0.0016 - train_loss: 3.477
Step 981/953240 - LR:0.0017 - train_loss: 3.414
Step 991/953240 - LR:0.0016 - train_loss: 3.459
Step 1001/953240 - LR:0.0017 - train_loss: 3.435
Step 1011/953240 - LR:0.0016 - train_loss: 3.448
Step 1021/953240 - LR:0.0017 - train_loss: 3.419
Step 1031/953240 - LR:0.0016 - train_loss: 3.489
Step 1041/953240 - LR:0.0017 - train_loss: 3.384
Step 1051/953240 - LR:0.0016 - train_loss: 3.426
Step 1061/953240 - LR:0.0017 - train_loss: 3.355
Step 1071/953240 - LR:0.0016 - train_loss: 3.420
Step 1081/953240 - LR:0.0017 - train_loss: 3.352
Step 1091/953240 - LR:0.0016 - train_loss: 3.384
Step 1101/953240 - LR:0.0017 - train_loss: 3.330
Step 1111/953240 - LR:0.0016 - train_loss: 3.347
Step 1121/953240 - LR:0.0017 - train_loss: 3.310
Step 1131/953240 - LR:0.0016 - train_loss: 3.400
Step 1141/953240 - LR:0.0017 - train_loss: 3.308
Step 1151/953240 - LR:0.0016 - train_loss: 3.416
Step 1161/953240 - LR:0.0017 - train_loss: 3.271
Step 1171/953240 - LR:0.0016 - train_loss: 3.326
Step 1181/953240 - LR:0.0017 - train_loss: 3.295
Step 1191/953240 - LR:0.0016 - train_loss: 3.363
Step 1201/953240 - LR:0.0017 - train_loss: 3.247
Step 1211/953240 - LR:0.0016 - train_loss: 3.305
Step 1221/953240 - LR:0.0017 - train_loss: 3.230
Step 1231/953240 - LR:0.0016 - train_loss: 3.284
Step 1241/953240 - LR:0.0017 - train_loss: 3.216
Step 1251/953240 - LR:0.0016 - train_loss: 3.318
Step 1261/953240 - LR:0.0017 - train_loss: 3.211
Step 1271/953240 - LR:0.0016 - train_loss: 3.279
Step 1281/953240 - LR:0.0017 - train_loss: 3.205
Step 1291/953240 - LR:0.0016 - train_loss: 3.236
Step 1301/953240 - LR:0.0017 - train_loss: 3.171
Step 1311/953240 - LR:0.0016 - train_loss: 3.209
Step 1321/953240 - LR:0.0017 - train_loss: 3.212
Step 1331/953240 - LR:0.0016 - train_loss: 3.267
Step 1341/953240 - LR:0.0016 - train_loss: 3.168
Step 1351/953240 - LR:0.0016 - train_loss: 3.242
Step 1361/953240 - LR:0.0017 - train_loss: 3.147
Step 1371/953240 - LR:0.0016 - train_loss: 3.165
Step 1381/953240 - LR:0.0017 - train_loss: 3.109
Step 1391/953240 - LR:0.0016 - train_loss: 3.138
Step 1401/953240 - LR:0.0017 - train_loss: 3.120
Step 1411/953240 - LR:0.0016 - train_loss: 3.147
Step 1421/953240 - LR:0.0016 - train_loss: 3.079
Step 1431/953240 - LR:0.0016 - train_loss: 3.108
Step 1441/953240 - LR:0.0017 - train_loss: 3.099
Step 1451/953240 - LR:0.0016 - train_loss: 3.151
Step 1461/953240 - LR:0.0017 - train_loss: 3.018
Step 1471/953240 - LR:0.0016 - train_loss: 3.187
Step 1481/953240 - LR:0.0017 - train_loss: 3.087
Step 1491/953240 - LR:0.0016 - train_loss: 3.100
Step 1501/953240 - LR:0.0017 - train_loss: 3.039
Step 1511/953240 - LR:0.0016 - train_loss: 3.049
Step 1521/953240 - LR:0.0017 - train_loss: 3.041
Step 1531/953240 - LR:0.0016 - train_loss: 3.090
Step 1541/953240 - LR:0.0017 - train_loss: 3.028
Step 1551/953240 - LR:0.0016 - train_loss: 3.055
Step 1561/953240 - LR:0.0016 - train_loss: 3.024
Step 1571/953240 - LR:0.0016 - train_loss: 3.089
Step 1581/953240 - LR:0.0017 - train_loss: 2.978
Step 1591/953240 - LR:0.0016 - train_loss: 3.020
Step 1601/953240 - LR:0.0017 - train_loss: 3.007
Step 1611/953240 - LR:0.0016 - train_loss: 3.017
Step 1621/953240 - LR:0.0017 - train_loss: 2.944
Step 1631/953240 - LR:0.0016 - train_loss: 3.051
Step 1641/953240 - LR:0.0016 - train_loss: 2.975
Step 1651/953240 - LR:0.0016 - train_loss: 3.040
Step 1661/953240 - LR:0.0017 - train_loss: 2.975
Step 1671/953240 - LR:0.0016 - train_loss: 3.005
Step 1681/953240 - LR:0.0017 - train_loss: 2.959
Step 1691/953240 - LR:0.0016 - train_loss: 2.981
Step 1701/953240 - LR:0.0017 - train_loss: 2.933
Step 1711/953240 - LR:0.0016 - train_loss: 3.070
Step 1721/953240 - LR:0.0016 - train_loss: 2.936
Step 1731/953240 - LR:0.0016 - train_loss: 3.060
Step 1741/953240 - LR:0.0017 - train_loss: 2.926
Step 1751/953240 - LR:0.0016 - train_loss: 2.947
Step 1761/953240 - LR:0.0017 - train_loss: 2.938
Step 1771/953240 - LR:0.0016 - train_loss: 2.990
Step 1781/953240 - LR:0.0017 - train_loss: 2.906
Step 1791/953240 - LR:0.0016 - train_loss: 2.941
Step 1801/953240 - LR:0.0017 - train_loss: 2.885
Step 1811/953240 - LR:0.0016 - train_loss: 2.916
Step 1821/953240 - LR:0.0017 - train_loss: 2.870
Step 1831/953240 - LR:0.0016 - train_loss: 2.920
Step 1841/953240 - LR:0.0017 - train_loss: 2.906
