Python 3.12.5
['▁<', '|', 'endo', 'f', 'text', '|', '>']
[39, 19, 37, 35, 38, 19, 40]
['▁Before', '▁we', '▁pro', 'ce', 'ed', '▁any', '▁further', ',', '▁hear', '▁me', '▁speak', '.']
torch.Size([512, 128]) torch.Size([512, 128])
The <|endoftext|> id is : 1
total params: 12,597,504
model size: 48.243MB
Training on cuda.
Epoch 1/2:
Step 1/953240 - LR:0.0016 - train_loss: 8.462
Step 11/953240 - LR:0.0016 - train_loss: 5.984
Step 21/953240 - LR:0.0017 - train_loss: 5.952
Step 31/953240 - LR:0.0016 - train_loss: 5.920
Step 41/953240 - LR:0.0017 - train_loss: 5.908
Step 51/953240 - LR:0.0016 - train_loss: 5.904
Step 61/953240 - LR:0.0017 - train_loss: 5.906
Step 71/953240 - LR:0.0016 - train_loss: 5.890
Step 81/953240 - LR:0.0017 - train_loss: 5.784
Step 91/953240 - LR:0.0016 - train_loss: 5.459
Step 101/953240 - LR:0.0016 - train_loss: 5.235
Step 111/953240 - LR:0.0016 - train_loss: 5.202
Step 121/953240 - LR:0.0017 - train_loss: 5.137
Step 131/953240 - LR:0.0016 - train_loss: 5.071
Step 141/953240 - LR:0.0017 - train_loss: 5.044
Step 151/953240 - LR:0.0016 - train_loss: 5.017
Step 161/953240 - LR:0.0017 - train_loss: 4.957
Step 171/953240 - LR:0.0016 - train_loss: 4.934
Step 181/953240 - LR:0.0017 - train_loss: 4.910
Step 191/953240 - LR:0.0016 - train_loss: 4.917
Step 201/953240 - LR:0.0016 - train_loss: 4.789
Step 211/953240 - LR:0.0016 - train_loss: 4.700
Step 221/953240 - LR:0.0016 - train_loss: 4.665
Step 231/953240 - LR:0.0016 - train_loss: 4.619
Step 241/953240 - LR:0.0017 - train_loss: 4.536
Step 251/953240 - LR:0.0016 - train_loss: 4.542
Step 261/953240 - LR:0.0017 - train_loss: 4.426
Step 271/953240 - LR:0.0016 - train_loss: 4.447
Step 281/953240 - LR:0.0017 - train_loss: 4.341
Step 291/953240 - LR:0.0016 - train_loss: 4.403
Step 301/953240 - LR:0.0017 - train_loss: 4.269
Step 311/953240 - LR:0.0016 - train_loss: 4.274
Step 321/953240 - LR:0.0017 - train_loss: 4.179
Step 331/953240 - LR:0.0016 - train_loss: 4.227
Step 341/953240 - LR:0.0017 - train_loss: 4.093
Step 351/953240 - LR:0.0016 - train_loss: 4.156
Step 361/953240 - LR:0.0017 - train_loss: 4.088
Step 371/953240 - LR:0.0016 - train_loss: 4.127
Step 381/953240 - LR:0.0017 - train_loss: 3.998
Step 391/953240 - LR:0.0016 - train_loss: 4.036
Step 401/953240 - LR:0.0017 - train_loss: 3.971
Step 411/953240 - LR:0.0016 - train_loss: 3.992
Step 421/953240 - LR:0.0017 - train_loss: 3.924
Step 431/953240 - LR:0.0016 - train_loss: 4.036
Step 441/953240 - LR:0.0017 - train_loss: 3.950
Step 451/953240 - LR:0.0016 - train_loss: 4.109
Step 461/953240 - LR:0.0017 - train_loss: 3.919
Step 471/953240 - LR:0.0016 - train_loss: 3.855
Step 481/953240 - LR:0.0017 - train_loss: 3.747
Step 491/953240 - LR:0.0016 - train_loss: 3.861
Step 501/953240 - LR:0.0017 - train_loss: 3.803
Step 511/953240 - LR:0.0016 - train_loss: 3.810
Step 521/953240 - LR:0.0017 - train_loss: 3.690
Step 531/953240 - LR:0.0016 - train_loss: 3.679
Step 541/953240 - LR:0.0017 - train_loss: 3.664
Step 551/953240 - LR:0.0016 - train_loss: 3.699
Step 561/953240 - LR:0.0017 - train_loss: 3.638
Step 571/953240 - LR:0.0016 - train_loss: 3.663
Step 581/953240 - LR:0.0016 - train_loss: 3.626
Step 591/953240 - LR:0.0016 - train_loss: 3.781
Step 601/953240 - LR:0.0016 - train_loss: 3.670
Step 611/953240 - LR:0.0016 - train_loss: 3.693
Step 621/953240 - LR:0.0016 - train_loss: 3.626
Step 631/953240 - LR:0.0016 - train_loss: 3.596
Step 641/953240 - LR:0.0017 - train_loss: 3.544
Step 651/953240 - LR:0.0016 - train_loss: 3.647
Step 661/953240 - LR:0.0017 - train_loss: 3.588
Step 671/953240 - LR:0.0016 - train_loss: 3.537
Step 681/953240 - LR:0.0017 - train_loss: 3.552
Step 691/953240 - LR:0.0016 - train_loss: 3.596
Step 701/953240 - LR:0.0017 - train_loss: 3.495
Step 711/953240 - LR:0.0016 - train_loss: 3.589
Step 721/953240 - LR:0.0017 - train_loss: 3.526
Step 731/953240 - LR:0.0016 - train_loss: 3.562
Step 741/953240 - LR:0.0017 - train_loss: 3.467
Step 751/953240 - LR:0.0016 - train_loss: 3.544
Step 761/953240 - LR:0.0017 - train_loss: 3.476
Step 771/953240 - LR:0.0016 - train_loss: 3.528
Step 781/953240 - LR:0.0016 - train_loss: 3.430
Step 791/953240 - LR:0.0016 - train_loss: 3.482
Step 801/953240 - LR:0.0017 - train_loss: 3.377
Step 811/953240 - LR:0.0016 - train_loss: 3.494
Step 821/953240 - LR:0.0017 - train_loss: 3.429
Step 831/953240 - LR:0.0016 - train_loss: 3.536
Step 841/953240 - LR:0.0017 - train_loss: 3.449
Step 851/953240 - LR:0.0016 - train_loss: 3.500
Step 861/953240 - LR:0.0017 - train_loss: 3.390
Step 871/953240 - LR:0.0016 - train_loss: 3.401
Step 881/953240 - LR:0.0017 - train_loss: 3.376
Step 891/953240 - LR:0.0016 - train_loss: 3.470
Step 901/953240 - LR:0.0017 - train_loss: 3.340
Step 911/953240 - LR:0.0016 - train_loss: 3.402
Step 921/953240 - LR:0.0017 - train_loss: 3.342
Step 931/953240 - LR:0.0016 - train_loss: 3.364
Step 941/953240 - LR:0.0017 - train_loss: 3.308
Step 951/953240 - LR:0.0016 - train_loss: 3.287
Step 961/953240 - LR:0.0017 - train_loss: 3.276
Step 971/953240 - LR:0.0016 - train_loss: 3.294
Step 981/953240 - LR:0.0017 - train_loss: 3.223
Step 991/953240 - LR:0.0016 - train_loss: 3.373
Step 1001/953240 - LR:0.0017 - train_loss: 3.314
Step 1011/953240 - LR:0.0016 - train_loss: 3.414
Step 1021/953240 - LR:0.0017 - train_loss: 3.264
Step 1031/953240 - LR:0.0016 - train_loss: 3.338
Step 1041/953240 - LR:0.0017 - train_loss: 3.266
Step 1051/953240 - LR:0.0016 - train_loss: 3.275
Step 1061/953240 - LR:0.0017 - train_loss: 3.261
Step 1071/953240 - LR:0.0016 - train_loss: 3.269
Step 1081/953240 - LR:0.0017 - train_loss: 3.221
Step 1091/953240 - LR:0.0016 - train_loss: 3.283
Step 1101/953240 - LR:0.0017 - train_loss: 3.216
Step 1111/953240 - LR:0.0016 - train_loss: 3.295
Step 1121/953240 - LR:0.0017 - train_loss: 3.225
Step 1131/953240 - LR:0.0016 - train_loss: 3.235
Step 1141/953240 - LR:0.0017 - train_loss: 3.165
Step 1151/953240 - LR:0.0016 - train_loss: 3.210
Step 1161/953240 - LR:0.0017 - train_loss: 3.158
Step 1171/953240 - LR:0.0016 - train_loss: 3.305
Step 1181/953240 - LR:0.0017 - train_loss: 3.166
Step 1191/953240 - LR:0.0016 - train_loss: 3.280
Step 1201/953240 - LR:0.0017 - train_loss: 3.225
Step 1211/953240 - LR:0.0016 - train_loss: 3.180
Step 1221/953240 - LR:0.0017 - train_loss: 3.109
Step 1231/953240 - LR:0.0016 - train_loss: 3.174
Step 1241/953240 - LR:0.0017 - train_loss: 3.112
Step 1251/953240 - LR:0.0016 - train_loss: 3.238
Step 1261/953240 - LR:0.0017 - train_loss: 3.115
Step 1271/953240 - LR:0.0016 - train_loss: 3.156
Step 1281/953240 - LR:0.0017 - train_loss: 3.079
Step 1291/953240 - LR:0.0016 - train_loss: 3.169
Step 1301/953240 - LR:0.0017 - train_loss: 3.115
Step 1311/953240 - LR:0.0016 - train_loss: 3.100
Step 1321/953240 - LR:0.0017 - train_loss: 3.041
Step 1331/953240 - LR:0.0016 - train_loss: 3.155
Step 1341/953240 - LR:0.0016 - train_loss: 3.071
Step 1351/953240 - LR:0.0016 - train_loss: 3.146
Step 1361/953240 - LR:0.0017 - train_loss: 3.060
Step 1371/953240 - LR:0.0016 - train_loss: 3.143
Step 1381/953240 - LR:0.0017 - train_loss: 3.009
Step 1391/953240 - LR:0.0016 - train_loss: 3.042
Step 1401/953240 - LR:0.0017 - train_loss: 2.996
Step 1411/953240 - LR:0.0016 - train_loss: 3.081
Step 1421/953240 - LR:0.0016 - train_loss: 3.043
Step 1431/953240 - LR:0.0016 - train_loss: 3.011
Step 1441/953240 - LR:0.0017 - train_loss: 3.014
Step 1451/953240 - LR:0.0016 - train_loss: 3.082
Step 1461/953240 - LR:0.0017 - train_loss: 2.996
Step 1471/953240 - LR:0.0016 - train_loss: 3.006
Step 1481/953240 - LR:0.0017 - train_loss: 2.981
Step 1491/953240 - LR:0.0016 - train_loss: 3.040
Step 1501/953240 - LR:0.0017 - train_loss: 2.936
Step 1511/953240 - LR:0.0016 - train_loss: 2.997
Step 1521/953240 - LR:0.0017 - train_loss: 2.968
Step 1531/953240 - LR:0.0016 - train_loss: 3.055
Step 1541/953240 - LR:0.0017 - train_loss: 2.969
Step 1551/953240 - LR:0.0016 - train_loss: 3.013
Step 1561/953240 - LR:0.0016 - train_loss: 2.928
Step 1571/953240 - LR:0.0016 - train_loss: 3.030
Step 1581/953240 - LR:0.0017 - train_loss: 2.928
Step 1591/953240 - LR:0.0016 - train_loss: 2.956
Step 1601/953240 - LR:0.0017 - train_loss: 2.877
Step 1611/953240 - LR:0.0016 - train_loss: 2.939
Step 1621/953240 - LR:0.0017 - train_loss: 2.888
Step 1631/953240 - LR:0.0016 - train_loss: 2.927
Step 1641/953240 - LR:0.0016 - train_loss: 2.880
Step 1651/953240 - LR:0.0016 - train_loss: 2.899
Step 1661/953240 - LR:0.0017 - train_loss: 2.838
Step 1671/953240 - LR:0.0016 - train_loss: 2.956
Step 1681/953240 - LR:0.0017 - train_loss: 2.873
Step 1691/953240 - LR:0.0016 - train_loss: 2.906
Step 1701/953240 - LR:0.0017 - train_loss: 2.880
Step 1711/953240 - LR:0.0016 - train_loss: 2.917
Step 1721/953240 - LR:0.0016 - train_loss: 2.811
Step 1731/953240 - LR:0.0016 - train_loss: 2.876
Step 1741/953240 - LR:0.0017 - train_loss: 2.807
Step 1751/953240 - LR:0.0016 - train_loss: 2.899
Step 1761/953240 - LR:0.0017 - train_loss: 2.844
Step 1771/953240 - LR:0.0016 - train_loss: 2.882
Step 1781/953240 - LR:0.0017 - train_loss: 2.814
Step 1791/953240 - LR:0.0016 - train_loss: 2.875
Step 1801/953240 - LR:0.0017 - train_loss: 2.807
Step 1811/953240 - LR:0.0016 - train_loss: 2.806
Step 1821/953240 - LR:0.0017 - train_loss: 2.799
Step 1831/953240 - LR:0.0016 - train_loss: 2.834
Step 1841/953240 - LR:0.0017 - train_loss: 2.765
